# APIキーが無いときに使う、主要・名作アニメの一覧（手入力）。
# タイトル<TAB>放送年<TAB>媒体(TV/MOVIE/OVA/WEB)<TAB>タグ（カンマ区切り。build_anime_db.py の TAGS にあるもの）
# 軸の値はタグから計算する。スコアは持たない（Filmarks から取れた時だけ付く）。
進撃の巨人	2013	TV	ファンタジー,ダーク,胸糞,伏線,考察,作画神,群像劇
DEATH NOTE	2006	TV	現代,ダーク,心理戦,サスペンス,伏線
コードギアス 反逆のルルーシュ	2006	TV	SF,ロボット,心理戦,伏線,群像劇
魔法少女まどか☆マギカ	2011	TV	ファンタジー,胸糞,伏線,考察,映像美
STEINS;GATE	2011	TV	現代,SF,伏線,考察,脚本
鋼の錬金術師 FULLMETAL ALCHEMIST	2009	TV	ファンタジー,冒険,伏線,熱い,群像劇,脚本
呪術廻戦	2020	TV	現代,バトル,ダーク,作画神,熱い
鬼滅の刃	2019	TV	ファンタジー,バトル,作画神,泣ける,熱い
チェンソーマン	2022	TV	現代,バトル,胸糞,作画神
SPY×FAMILY	2022	TV	家族,ギャグ,爽快,ラブコメ
葬送のフリーレン	2023	TV	ファンタジー,冒険,泣ける,映像美,大人
【推しの子】	2023	TV	現代,アイドル,サスペンス,ダーク,伏線
四月は君の嘘	2014	TV	現代,青春,音楽,泣ける,映像美
ヴァイオレット・エヴァーガーデン	2018	TV	ファンタジー,泣ける,映像美,作画神,大人
ハイキュー!!	2014	TV	学園,スポーツ,熱い,爽快,群像劇
3月のライオン	2016	TV	現代,家族,泣ける,大人,心理戦
響け！ユーフォニアム	2015	TV	学園,青春,音楽,作画神,群像劇
けいおん!	2009	TV	学園,日常,音楽,癒し
ゆるキャン△	2018	TV	日常,癒し,グルメ
銀魂	2006	TV	SF,ギャグ,熱い,群像劇
ワンパンマン	2015	TV	SF,バトル,ギャグ,作画神,爽快
モブサイコ100	2016	TV	現代,バトル,作画神,爽快,泣ける
カウボーイビバップ	1998	TV	SF,大人,音楽,映像美
新世紀エヴァンゲリオン	1995	TV	SF,ロボット,胸糞,考察,映像美
PSYCHO-PASS サイコパス	2012	TV	SF,ダーク,心理戦,考察
約束のネバーランド	2019	TV	ファンタジー,心理戦,伏線,サスペンス
賭ケグルイ	2017	TV	学園,心理戦,ギャグ
逆境無頼カイジ	2007	TV	現代,心理戦,胸糞,大人
夏目友人帳	2008	TV	現代,ファンタジー,癒し,泣ける
氷菓	2012	TV	学園,日常,ミステリー,映像美
化物語	2009	TV	現代,ファンタジー,心理戦,映像美,考察
僕だけがいない街	2016	TV	現代,サスペンス,伏線,ミステリー
Re:ゼロから始める異世界生活	2016	TV	異世界,胸糞,ダーク,伏線
この素晴らしい世界に祝福を！	2016	TV	異世界,ギャグ,爽快
メイドインアビス	2017	TV	ファンタジー,冒険,胸糞,映像美
宇宙よりも遠い場所	2018	TV	現代,青春,冒険,泣ける,群像劇
ジョジョの奇妙な冒険	2012	TV	バトル,熱い,心理戦,冒険
天元突破グレンラガン	2007	TV	SF,ロボット,熱い,爽快,作画神
蟲師	2005	TV	ファンタジー,癒し,大人,映像美
ブルーロック	2022	TV	スポーツ,熱い,心理戦
ぼっち・ざ・ろっく！	2022	TV	日常,音楽,ギャグ,作画神
Dr.STONE	2019	TV	SF,冒険,爽快,脚本
かぐや様は告らせたい	2019	TV	学園,ラブコメ,心理戦,ギャグ
ヴィンランド・サガ	2019	TV	歴史,ダーク,大人,胸糞
ダンジョン飯	2024	TV	ファンタジー,冒険,グルメ,ギャグ
SHIROBAKO	2014	TV	お仕事,群像劇,泣ける
ひぐらしのなく頃に	2006	TV	現代,ホラー,胸糞,伏線,考察
サマータイムレンダ	2022	TV	現代,サスペンス,伏線,考察
NANA	2006	TV	現代,恋愛,音楽,大人,泣ける
ONE PIECE	1999	TV	冒険,熱い,泣ける,群像劇,バトル
NARUTO	2002	TV	ファンタジー,バトル,熱い,泣ける
BLEACH	2004	TV	ファンタジー,バトル,熱い
HUNTER×HUNTER	2011	TV	ファンタジー,冒険,バトル,心理戦,伏線
